district_id,period_type,period_start_date,TOT_AVG,male_buckets_avg,female_buckets_avg,daytime_avg,nighttime_avg
11680,DAILY,2025-07-28,865718,"{""F0T9"": 27456, ""F10T14"": 18814, ""F15T19"": 34018, ""F20T24"": 20836, ""F25T29"": 31342, ""F30T34"": 35129, ""F35T39"": 43680, ""F40T44"": 42153, ""F45T49"": 47010, ""F50T54"": 35876, ""F55T59"": 28224, ""F60T64"": 17764, ""F65T69"": 12028, ""F70T74"": 24279}","{""F0T9"": 25522, ""F10T14"": 16973, ""F15T19"": 30584, ""F20T24"": 31489, ""F25T29"": 43636, ""F30T34"": 41340, ""F35T39"": 43695, ""F40T44"": 40056, ""F45T49"": 44625, ""F50T54"": 29972, ""F55T59"": 24895, ""F60T64"": 19148, ""F65T69"": 15137, ""F70T74"": 40037}",1020708,679750
11680,DAILY,2025-07-29,880273,"{""F0T9"": 27624, ""F10T14"": 18886, ""F15T19"": 34398, ""F20T24"": 20996, ""F25T29"": 31833, ""F30T34"": 36274, ""F35T39"": 44756, ""F40T44"": 43386, ""F45T49"": 47748, ""F50T54"": 35969, ""F55T59"": 28291, ""F60T64"": 17920, ""F65T69"": 12136, ""F70T74"": 24524}","{""F0T9"": 25703, ""F10T14"": 17061, ""F15T19"": 30998, ""F20T24"": 32311, ""F25T29"": 45066, ""F30T34"": 42961, ""F35T39"": 44986, ""F40T44"": 40986, ""F45T49"": 45314, ""F50T54"": 30334, ""F55T59"": 25081, ""F60T64"": 19268, ""F65T69"": 15227, ""F70T74"": 40236}",1035541,719838
11680,DAILY,2025-07-30,879816,"{""F0T9"": 27747, ""F10T14"": 18731, ""F15T19"": 34253, ""F20T24"": 21198, ""F25T29"": 32007, ""F30T34"": 36169, ""F35T39"": 44787, ""F40T44"": 42987, ""F45T49"": 47453, ""F50T54"": 36089, ""F55T59"": 28353, ""F60T64"": 18049, ""F65T69"": 12153, ""F70T74"": 24418}","{""F0T9"": 25713, ""F10T14"": 16904, ""F15T19"": 31064, ""F20T24"": 32510, ""F25T29"": 45219, ""F30T34"": 42916, ""F35T39"": 44901, ""F40T44"": 40892, ""F45T49"": 45000, ""F50T54"": 30323, ""F55T59"": 25233, ""F60T64"": 19265, ""F65T69"": 15250, ""F70T74"": 40232}",1033250,725915
11680,DAILY,2025-07-31,879622,"{""F0T9"": 27655, ""F10T14"": 18727, ""F15T19"": 34515, ""F20T24"": 21228, ""F25T29"": 31999, ""F30T34"": 36256, ""F35T39"": 45089, ""F40T44"": 43318, ""F45T49"": 47595, ""F50T54"": 36017, ""F55T59"": 28233, ""F60T64"": 17805, ""F65T69"": 12117, ""F70T74"": 24154}","{""F0T9"": 25742, ""F10T14"": 16957, ""F15T19"": 31084, ""F20T24"": 32837, ""F25T29"": 45279, ""F30T34"": 42980, ""F35T39"": 44803, ""F40T44"": 40910, ""F45T49"": 44884, ""F50T54"": 30438, ""F55T59"": 25110, ""F60T64"": 19091, ""F65T69"": 14995, ""F70T74"": 39805}",1031430,727293
11680,DAILY,2025-08-01,859585,"{""F0T9"": 27315, ""F10T14"": 18455, ""F15T19"": 34302, ""F20T24"": 21547, ""F25T29"": 31294, ""F30T34"": 34942, ""F35T39"": 43075, ""F40T44"": 41645, ""F45T49"": 45811, ""F50T54"": 34815, ""F55T59"": 27649, ""F60T64"": 17543, ""F65T69"": 11935, ""F70T74"": 23966}","{""F0T9"": 25177, ""F10T14"": 16530, ""F15T19"": 31028, ""F20T24"": 32356, ""F25T29"": 43707, ""F30T34"": 41306, ""F35T39"": 43142, ""F40T44"": 39891, ""F45T49"": 44056, ""F50T54"": 30101, ""F55T59"": 24828, ""F60T64"": 18805, ""F65T69"": 14858, ""F70T74"": 39507}",999846,726466
11680,DAILY,2025-08-02,734852,"{""F0T9"": 26675, ""F10T14"": 17994, ""F15T19"": 34496, ""F20T24"": 20290, ""F25T29"": 24231, ""F30T34"": 25917, ""F35T39"": 31894, ""F40T44"": 31661, ""F45T49"": 37759, ""F50T54"": 29803, ""F55T59"": 23840, ""F60T64"": 15576, ""F65T69"": 10686, ""F70T74"": 22250}","{""F0T9"": 24493, ""F10T14"": 15942, ""F15T19"": 32060, ""F20T24"": 27257, ""F25T29"": 29852, ""F30T34"": 28931, ""F35T39"": 33163, ""F40T44"": 33705, ""F45T49"": 39623, ""F50T54"": 27420, ""F55T59"": 22513, ""F60T64"": 16825, ""F65T69"": 13204, ""F70T74"": 36791}",787553,708794
11680,DAILY,2025-08-03,694808,"{""F0T9"": 26669, ""F10T14"": 17696, ""F15T19"": 32476, ""F20T24"": 19149, ""F25T29"": 22287, ""F30T34"": 23627, ""F35T39"": 29305, ""F40T44"": 29870, ""F45T49"": 36134, ""F50T54"": 28455, ""F55T59"": 22550, ""F60T64"": 14559, ""F65T69"": 10125, ""F70T74"": 21808}","{""F0T9"": 24913, ""F10T14"": 15977, ""F15T19"": 29889, ""F20T24"": 24660, ""F25T29"": 25973, ""F30T34"": 25273, ""F35T39"": 30435, ""F40T44"": 32129, ""F45T49"": 38015, ""F50T54"": 26095, ""F55T59"": 21313, ""F60T64"": 16202, ""F65T69"": 12814, ""F70T74"": 36412}",724414,670979
11680,DAILY,2025-08-04,865716,"{""F0T9"": 27864, ""F10T14"": 19166, ""F15T19"": 33290, ""F20T24"": 20511, ""F25T29"": 31098, ""F30T34"": 34979, ""F35T39"": 44200, ""F40T44"": 43143, ""F45T49"": 47496, ""F50T54"": 35586, ""F55T59"": 27664, ""F60T64"": 17348, ""F65T69"": 11878, ""F70T74"": 24257}","{""F0T9"": 25821, ""F10T14"": 17263, ""F15T19"": 29659, ""F20T24"": 31381, ""F25T29"": 43082, ""F30T34"": 41189, ""F35T39"": 44582, ""F40T44"": 41406, ""F45T49"": 44324, ""F50T54"": 29774, ""F55T59"": 24636, ""F60T64"": 19031, ""F65T69"": 15101, ""F70T74"": 39982}",1019569,677717
11680,DAILY,2025-08-05,890644,"{""F0T9"": 28123, ""F10T14"": 19362, ""F15T19"": 33906, ""F20T24"": 20920, ""F25T29"": 32001, ""F30T34"": 36329, ""F35T39"": 45730, ""F40T44"": 44729, ""F45T49"": 48820, ""F50T54"": 36204, ""F55T59"": 28205, ""F60T64"": 17878, ""F65T69"": 12223, ""F70T74"": 24725}","{""F0T9"": 26187, ""F10T14"": 17557, ""F15T19"": 30664, ""F20T24"": 32291, ""F25T29"": 45425, ""F30T34"": 43556, ""F35T39"": 46502, ""F40T44"": 42886, ""F45T49"": 45445, ""F50T54"": 30344, ""F55T59"": 25199, ""F60T64"": 19393, ""F65T69"": 15351, ""F70T74"": 40689}",1049796,723380
11680,DAILY,2025-08-06,889485,"{""F0T9"": 28164, ""F10T14"": 19244, ""F15T19"": 33761, ""F20T24"": 21069, ""F25T29"": 32079, ""F30T34"": 36119, ""F35T39"": 45440, ""F40T44"": 44841, ""F45T49"": 48735, ""F50T54"": 36059, ""F55T59"": 28204, ""F60T64"": 17719, ""F65T69"": 12149, ""F70T74"": 24567}","{""F0T9"": 26282, ""F10T14"": 17483, ""F15T19"": 30643, ""F20T24"": 32579, ""F25T29"": 45438, ""F30T34"": 43235, ""F35T39"": 46331, ""F40T44"": 42751, ""F45T49"": 45481, ""F50T54"": 30370, ""F55T59"": 25198, ""F60T64"": 19523, ""F65T69"": 15457, ""F70T74"": 40565}",1044622,733437
11680,DAILY,2025-08-07,899003,"{""F0T9"": 28314, ""F10T14"": 19487, ""F15T19"": 33835, ""F20T24"": 21248, ""F25T29"": 32456, ""F30T34"": 36337, ""F35T39"": 46033, ""F40T44"": 45038, ""F45T49"": 49012, ""F50T54"": 36344, ""F55T59"": 28528, ""F60T64"": 18147, ""F65T69"": 12320, ""F70T74"": 24555}","{""F0T9"": 26132, ""F10T14"": 17584, ""F15T19"": 31192, ""F20T24"": 33307, ""F25T29"": 46013, ""F30T34"": 43828, ""F35T39"": 46952, ""F40T44"": 43324, ""F45T49"": 45960, ""F50T54"": 30955, ""F55T59"": 25784, ""F60T64"": 19889, ""F65T69"": 15668, ""F70T74"": 40764}",1058275,735819
11680,DAILY,2025-08-08,881654,"{""F0T9"": 27971, ""F10T14"": 19272, ""F15T19"": 33752, ""F20T24"": 21351, ""F25T29"": 31801, ""F30T34"": 35318, ""F35T39"": 44330, ""F40T44"": 43092, ""F45T49"": 47285, ""F50T54"": 35367, ""F55T59"": 28046, ""F60T64"": 17767, ""F65T69"": 12143, ""F70T74"": 24482}","{""F0T9"": 25968, ""F10T14"": 17437, ""F15T19"": 30888, ""F20T24"": 33187, ""F25T29"": 44674, ""F30T34"": 42417, ""F35T39"": 45504, ""F40T44"": 42223, ""F45T49"": 45359, ""F50T54"": 30641, ""F55T59"": 25600, ""F60T64"": 19717, ""F65T69"": 15508, ""F70T74"": 40551}",1029568,739143
11680,DAILY,2025-08-09,758177,"{""F0T9"": 27826, ""F10T14"": 18914, ""F15T19"": 34433, ""F20T24"": 20441, ""F25T29"": 24722, ""F30T34"": 26382, ""F35T39"": 32694, ""F40T44"": 32785, ""F45T49"": 38963, ""F50T54"": 30033, ""F55T59"": 24150, ""F60T64"": 15850, ""F65T69"": 10828, ""F70T74"": 22877}","{""F0T9"": 25845, ""F10T14"": 17025, ""F15T19"": 32144, ""F20T24"": 28237, ""F25T29"": 31397, ""F30T34"": 30273, ""F35T39"": 35329, ""F40T44"": 35768, ""F45T49"": 40869, ""F50T54"": 28061, ""F55T59"": 23231, ""F60T64"": 17660, ""F65T69"": 13769, ""F70T74"": 37674}",818877,726412
11680,DAILY,2025-08-10,711565,"{""F0T9"": 27893, ""F10T14"": 18570, ""F15T19"": 32433, ""F20T24"": 19254, ""F25T29"": 22640, ""F30T34"": 24174, ""F35T39"": 29854, ""F40T44"": 30657, ""F45T49"": 36915, ""F50T54"": 28635, ""F55T59"": 22736, ""F60T64"": 14863, ""F65T69"": 10227, ""F70T74"": 22082}","{""F0T9"": 25600, ""F10T14"": 16602, ""F15T19"": 29955, ""F20T24"": 25575, ""F25T29"": 27232, ""F30T34"": 26325, ""F35T39"": 31966, ""F40T44"": 33564, ""F45T49"": 38675, ""F50T54"": 26488, ""F55T59"": 21837, ""F60T64"": 16708, ""F65T69"": 13134, ""F70T74"": 36968}",747316,683830
11680,DAILY,2025-08-11,873111,"{""F0T9"": 28498, ""F10T14"": 19586, ""F15T19"": 32098, ""F20T24"": 20631, ""F25T29"": 31251, ""F30T34"": 35160, ""F35T39"": 44741, ""F40T44"": 43655, ""F45T49"": 48011, ""F50T54"": 35594, ""F55T59"": 28181, ""F60T64"": 17723, ""F65T69"": 12104, ""F70T74"": 24419}","{""F0T9"": 25906, ""F10T14"": 17346, ""F15T19"": 28602, ""F20T24"": 31752, ""F25T29"": 44017, ""F30T34"": 41918, ""F35T39"": 45406, ""F40T44"": 41812, ""F45T49"": 44376, ""F50T54"": 29875, ""F55T59"": 25037, ""F60T64"": 19353, ""F65T69"": 15432, ""F70T74"": 40625}",1029115,684490
